v1,v2,v3,v4
506181,334.66,77.4,0.43902439
506181,334.66,77.4,0.097560976
506181,334.66,77.4,0.048780488
506181,334.66,77.4,0.634146341
506181,334.66,77.4,0.024390244
506181,334.66,77.4,0.658536585
506181,334.66,77.4,0.536585366
506181,334.66,77.4,0.12195122
506181,334.66,77.4,0.463414634
506181,334.66,77.4,0.87804878
506181,334.66,77.4,0.585365854
506181,334.66,77.4,0.707317073
506181,334.66,77.4,0.926829268
506181,334.66,77.4,0.073170732
506181,334.66,77.4,0.756097561
506181,334.66,77.4,0.512195122
506181,334.66,77.4,0.292682927
506181,334.66,77.4,0.804878049
506181,334.66,77.4,0.219512195
509188,334.66,77.4,0.170731707
509188,334.66,77.4,0.804878049
509188,334.66,77.4,0.975609756
509188,334.66,77.4,0.365853659
509188,334.66,43,0.951219512
509188,334.66,50,1
509188,334.66,20,0.902439024
509188,334.66,10,0.365853659
509188,334.66,43,0.219512195
509188,6543,43,0.357142857
509188,6543,10,0.833333333
509188,6543,20,0.095238095
509188,6543,10,0.833333333
509188,6543,10,0.095238095
509188,6543,20,0.833333333
509188,6543,10,0.833333333
509188,6543,10,0.833333333
509188,6543,10,0.833333333
509188,6543,43,0.833333333
509188,6543,10,0.357142857
509188,6543,20,0.833333333
5026.4,6543,10,0.833333333
5026.4,6543,10,0.833333333
5026.4,6543,10,0.023809524
5026.4,6543,20,0.833333333
5026.4,6543,20,0.833333333
5026.4,6543,43,0.833333333
5026.4,6543,10,0.833333333
5026.4,6543,20,0.095238095
5026.4,6543,43,0.833333333
5026.4,6543,20,0.428571429
5026.4,6543,20,0.285714286
5026.4,6543,10,0.214285714
5026.4,6543,40,0.357142857
5026.4,6543,43,0.214285714
5026.4,6543,20,0.261904762
5026.4,6543,43,0.833333333
5026.4,6544,43,0.769243769
5026.4,6544,20,0.924376923
5026.4,6544,10,0.076924377
5026.4,6544,43,0.384615385
5026.4,6544,50,0.538461538
763552,6544,40,0.243769231
763552,6544,50,0.615384615
763552,6544,43,0.153846154
763552,6585,50,0.827586207
763552,6585,20,0.343049261
763552,6585,43,0.226600985
763552,6585,10,0.39408867
763552,6585,110,0.783251232
763552,6585,40,0.778325123
763552,6585,40,0.566502463
763552,6585,143,0.665024631
763552,6585,20,0.827586207
763552,6585,70,0.343049261
763552,6585,50,0.812807882
763552,6585,70,0.497536946
763552,6585,50,0.24137931
763552,6585,43,0.428571429
763552,6585,43,0.343049261
763552,6585,20,0.625615764
763552,6585,80,0.714285714
763552,6585,43,0.45320197
763552,6585,70,0.517241379
763552,6585,80,0.674876847
763552,6585,40,0.343049261
763552,6585,50,0.704433498
763552,6585,20,0.231527094
763552,6585,43,0.418719212
763552,6585,50,0.911343049
763552,6585,60,0.743842365
763552,6585,80,0.561576355
763552,6585,90,0.719211823
763552,6585,10,0.004926108
763552,6585,20,0.343049261
763552,6585,40,0.926108374
763552,6585,40,0.97044335
763552,6585,10,0.433497537
763552,6585,90,0.798029557
763552,6585,43,0.15270936
763552,6585,20,0.600985222
763552,6585,40,0.403940887
763552,6585,43,0.438423645
763552,6585,43,0.477832512
763552,6585,50,0.443349754
